游戏日,烹饪店,轻装店,重装店
1,7[14] - 0[0],5[40] - 0[0],0[0] - 0[0]
2,14[28] - 0[0],11[88] - 0[0],13[65] - 0[0]
3,21[42] - 0[0],12[96] - 1[55],15[75] - 0[0]
4,25[50] - 0[0],11[88] - 3[110],15[75] - 0[0]
5,32[64] - 0[0],11[88] - 5[160],15[75] - 0[0]
6,39[78] - 0[0],10[80] - 7[220],15[75] - 0[0]
7,47[94] - 0[0],10[80] - 8[250],15[75] - 0[0]
8,39[78] - 0[0],11[88] - 8[250],15[75] - 0[0]
9,45[90] - 0[0],11[88] - 9[280],15[75] - 0[0]
10,38[76] - 0[0],10[80] - 9[280],15[75] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,0[0] - 0[0],0[0] - 0[0],6[30] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
1,9[18] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,24[48] - 0[0],11[88] - 1[30],0[0] - 0[0]
3,46[92] - 0[0],10[80] - 2[55],15[75] - 2[125]
4,47[94] - 0[0],11[88] - 5[140],15[75] - 2[125]
5,49[98] - 0[0],11[88] - 8[230],15[75] - 2[125]
6,39[78] - 1[30],12[96] - 10[290],15[75] - 2[125]
1,6[12] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,19[38] - 0[0],9[72] - 2[55],10[50] - 0[0]
3,38[76] - 0[0],8[64] - 4[140],10[50] - 0[0]
4,48[96] - 0[0],8[64] - 5[165],10[50] - 0[0]
1,10[20] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,26[52] - 0[0],11[88] - 1[25],0[0] - 0[0]
3,44[88] - 0[0],10[80] - 3[80],10[50] - 1[80]
4,47[94] - 0[0],12[96] - 4[105],10[50] - 1[80]
5,37[74] - 1[30],10[80] - 7[185],10[50] - 1[80]
6,47[94] - 1[30],12[96] - 9[250],10[50] - 1[80]
7,39[78] - 3[90],12[96] - 11[335],10[50] - 1[80]
8,46[92] - 4[120],10[80] - 13[425],10[50] - 1[80]
9,36[72] - 6[180],12[96] - 14[485],10[50] - 1[80]
10,39[78] - 6[180],10[80] - 17[585],10[50] - 1[80]
1,22[44] - 0[0],12[96] - 0[0],0[0] - 0[0]
2,43[86] - 0[0],10[80] - 2[90],0[0] - 1[100]
3,41[82] - 0[0],11[88] - 3[120],0[0] - 1[100]
4,36[72] - 0[0],9[72] - 6[200],0[0] - 1[100]
5,44[88] - 1[30],12[96] - 7[255],0[0] - 1[100]
6,35[70] - 2[60],12[96] - 10[345],0[0] - 1[100]
7,43[86] - 3[90],10[80] - 13[430],0[0] - 1[100]
8,40[80] - 5[150],9[72] - 16[510],0[0] - 1[100]
9,39[78] - 6[180],9[72] - 19[595],0[0] - 1[100]
10,48[96] - 4[120],11[88] - 22[680],0[0] - 1[100]
11,48[96] - 2[60],11[88] - 22[680],0[0] - 1[100]
12,48[96] - 3[90],11[88] - 22[680],0[0] - 1[100]
13,48[96] - 3[90],11[88] - 22[680],0[0] - 1[100]
14,48[96] - 3[90],11[88] - 22[680],0[0] - 1[100]
15,48[96] - 3[90],11[88] - 22[680],0[0] - 1[100]
16,48[96] - 2[60],11[88] - 22[680],0[0] - 1[100]
17,48[96] - 2[60],11[88] - 22[680],0[0] - 1[100]
18,48[96] - 2[60],11[88] - 22[680],0[0] - 1[100]
19,48[96] - 2[60],11[88] - 22[680],0[0] - 1[100]
20,48[96] - 2[60],11[88] - 22[680],0[0] - 1[100]
21,48[96] - 2[60],11[88] - 22[680],0[0] - 1[100]
22,48[96] - 2[60],11[88] - 22[680],0[0] - 1[100]
23,48[96] - 1[30],11[88] - 22[680],0[0] - 1[100]
