游戏日,烹饪店,轻装店,重装店
1,0[0] - 0[0],0[0] - 0[0],4[20] - 0[0]
2,7[14] - 0[0],10[80] - 0[0],14[70] - 0[0]
3,14[28] - 0[0],9[72] - 1[35],18[90] - 0[0]
4,17[34] - 0[0],9[72] - 2[70],18[90] - 0[0]
5,23[46] - 0[0],9[72] - 3[125],18[90] - 0[0]
6,34[68] - 0[0],11[88] - 3[125],18[90] - 0[0]
7,41[82] - 0[0],10[80] - 4[160],18[90] - 0[0]
8,49[98] - 0[0],9[72] - 5[190],18[90] - 0[0]
9,40[80] - 0[0],7[56] - 6[245],18[90] - 0[0]
10,46[92] - 0[0],9[72] - 6[245],18[90] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,0[0] - 0[0],0[0] - 0[0],8[40] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,30[60] - 0[0],12[96] - 0[0],8[40] - 0[0]
3,44[88] - 0[0],7[56] - 3[105],17[85] - 0[0]
4,47[94] - 0[0],12[96] - 5[160],17[85] - 0[0]
5,49[98] - 0[0],10[80] - 8[235],17[85] - 0[0]
6,39[78] - 1[30],9[72] - 10[295],17[85] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,23[46] - 0[0],8[64] - 1[55],6[30] - 0[0]
3,44[88] - 0[0],9[72] - 2[80],16[80] - 2[130]
4,49[98] - 0[0],10[80] - 2[80],16[80] - 2[130]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,20[40] - 0[0],10[80] - 1[55],9[45] - 0[0]
3,35[70] - 0[0],12[96] - 3[110],15[75] - 0[0]
4,36[72] - 0[0],9[72] - 5[170],15[75] - 0[0]
5,40[80] - 0[0],12[96] - 7[235],15[75] - 0[0]
6,48[96] - 0[0],11[88] - 10[310],15[75] - 0[0]
7,42[84] - 2[60],12[96] - 11[340],15[75] - 0[0]
8,39[78] - 4[120],11[88] - 13[420],15[75] - 0[0]
9,44[88] - 5[150],9[72] - 16[510],15[75] - 0[0]
10,39[78] - 5[150],12[96] - 17[545],15[75] - 0[0]
1,19[38] - 0[0],11[88] - 0[0],0[0] - 0[0]
2,35[70] - 0[0],9[72] - 2[55],9[45] - 2[160]
3,41[82] - 0[0],11[88] - 5[125],9[45] - 2[160]
4,46[92] - 0[0],11[88] - 7[190],9[45] - 2[160]
5,48[96] - 1[30],6[48] - 9[300],9[45] - 2[160]
6,41[82] - 1[30],10[80] - 10[325],9[45] - 2[160]
7,41[82] - 2[60],10[80] - 10[325],9[45] - 2[160]
8,41[82] - 3[90],10[80] - 10[325],9[45] - 2[160]
9,41[82] - 1[30],10[80] - 10[325],9[45] - 2[160]
10,42[84] - 1[30],12[96] - 12[390],9[45] - 2[160]
11,47[94] - 2[60],11[88] - 14[450],9[45] - 2[160]
12,39[78] - 4[120],8[64] - 17[555],9[45] - 2[160]
13,45[90] - 3[90],9[72] - 18[580],9[45] - 2[160]
14,45[90] - 4[120],9[72] - 18[580],9[45] - 2[160]
15,45[90] - 2[60],9[72] - 18[580],9[45] - 2[160]
16,45[90] - 3[90],9[72] - 18[580],9[45] - 2[160]
17,45[90] - 4[120],9[72] - 18[580],9[45] - 2[160]
18,45[90] - 2[60],9[72] - 18[580],9[45] - 2[160]
19,45[90] - 2[60],9[72] - 18[580],9[45] - 2[160]
20,45[90] - 3[90],9[72] - 18[580],9[45] - 2[160]
21,45[90] - 0[0],9[72] - 18[580],9[45] - 2[160]
22,45[90] - 1[30],9[72] - 18[580],9[45] - 2[160]
23,45[90] - 3[90],9[72] - 18[580],9[45] - 2[160]
24,45[90] - 1[30],9[72] - 18[580],9[45] - 2[160]
25,45[90] - 1[30],9[72] - 18[580],9[45] - 2[160]
26,45[90] - 3[90],9[72] - 18[580],9[45] - 2[160]
27,45[90] - 0[0],9[72] - 18[580],9[45] - 2[160]
28,41[82] - 0[0],11[88] - 21[675],9[45] - 2[160]
