游戏日,烹饪店,轻装店,重装店
1,3[6] - 0[0],5[40] - 0[0],0[0] - 0[0]
2,9[18] - 0[0],10[80] - 0[0],0[0] - 0[0]
3,17[34] - 0[0],12[96] - 0[0],6[30] - 0[0]
4,24[48] - 0[0],11[88] - 2[55],6[30] - 0[0]
5,30[60] - 0[0],9[72] - 4[115],6[30] - 0[0]
6,37[74] - 0[0],12[96] - 4[115],6[30] - 0[0]
7,40[80] - 0[0],9[72] - 6[175],6[30] - 0[0]
8,46[92] - 0[0],10[80] - 8[225],6[30] - 0[0]
9,36[72] - 0[0],11[88] - 8[225],6[30] - 0[0]
10,43[86] - 0[0],9[72] - 9[280],6[30] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,0[0] - 0[0],0[0] - 0[0],4[20] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
1,6[12] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,21[42] - 0[0],9[72] - 1[30],6[30] - 0[0]
3,37[74] - 0[0],5[40] - 3[150],14[70] - 0[0]
4,45[90] - 0[0],12[96] - 3[150],14[70] - 0[0]
5,41[82] - 1[30],9[72] - 5[240],14[70] - 0[0]
6,47[94] - 1[30],12[96] - 7[290],14[70] - 0[0]
1,9[18] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,26[52] - 0[0],10[80] - 1[30],0[0] - 0[0]
3,45[90] - 0[0],10[80] - 3[85],14[70] - 1[70]
4,36[72] - 0[0],12[96] - 4[140],14[70] - 1[70]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,25[50] - 0[0],11[88] - 0[0],0[0] - 0[0]
3,46[92] - 0[0],8[64] - 2[75],19[95] - 2[150]
4,41[82] - 0[0],12[96] - 3[105],19[95] - 2[150]
5,44[88] - 1[30],10[80] - 6[200],19[95] - 2[150]
6,38[76] - 2[60],11[88] - 7[255],19[95] - 2[150]
7,43[86] - 3[90],12[96] - 9[345],19[95] - 2[150]
8,49[98] - 4[120],12[96] - 12[425],19[95] - 2[150]
9,48[96] - 5[150],12[96] - 14[510],19[95] - 2[150]
10,38[76] - 5[150],9[72] - 17[600],19[95] - 2[150]
1,18[36] - 0[0],9[72] - 1[30],0[0] - 0[0]
2,32[64] - 0[0],12[96] - 2[60],12[60] - 0[0]
3,35[70] - 0[0],10[80] - 4[140],12[60] - 0[0]
4,35[70] - 0[0],8[64] - 5[200],12[60] - 0[0]
5,39[78] - 1[30],11[88] - 7[255],12[60] - 0[0]
6,42[84] - 1[30],10[80] - 10[340],12[60] - 0[0]
7,48[96] - 2[60],11[88] - 12[400],12[60] - 0[0]
8,35[70] - 4[120],12[96] - 14[475],12[60] - 0[0]
9,41[82] - 5[150],11[88] - 16[560],12[60] - 0[0]
10,42[84] - 0[0],10[80] - 19[640],12[60] - 0[0]
11,40[80] - 0[0],12[96] - 21[705],12[60] - 0[0]
12,46[92] - 1[30],7[56] - 24[825],12[60] - 0[0]
13,36[72] - 3[90],9[72] - 25[880],12[60] - 0[0]
14,43[86] - 4[120],8[64] - 28[970],12[60] - 0[0]
15,47[94] - 5[150],10[80] - 29[1005],12[60] - 0[0]
16,39[78] - 7[210],12[96] - 31[1065],12[60] - 0[0]
17,47[94] - 1[30],9[72] - 35[1180],12[60] - 0[0]
18,42[84] - 3[90],9[72] - 38[1255],12[60] - 0[0]
19,46[92] - 0[0],8[64] - 40[1345],12[60] - 0[0]
20,49[98] - 1[30],8[64] - 42[1415],12[60] - 0[0]
21,43[86] - 3[90],12[96] - 44[1480],12[60] - 0[0]
22,35[70] - 1[30],8[64] - 46[1570],12[60] - 0[0]
23,42[84] - 2[60],9[72] - 48[1640],12[60] - 0[0]
24,49[98] - 3[90],11[88] - 50[1705],12[60] - 0[0]
25,47[94] - 5[150],11[88] - 52[1795],12[60] - 0[0]
26,39[78] - 7[210],12[96] - 55[1880],12[60] - 0[0]
27,45[90] - 8[240],12[96] - 58[1960],12[60] - 0[0]
28,46[92] - 0[0],10[80] - 61[2045],12[60] - 0[0]
29,48[96] - 0[0],11[88] - 63[2105],12[60] - 0[0]
30,37[74] - 2[60],10[80] - 66[2185],12[60] - 0[0]
31,42[84] - 3[90],6[48] - 69[2300],12[60] - 0[0]
32,43[86] - 4[120],6[48] - 69[2300],12[60] - 0[0]
33,43[86] - 0[0],6[48] - 69[2300],12[60] - 0[0]
34,45[90] - 2[60],6[48] - 69[2300],12[60] - 0[0]
35,44[88] - 3[90],6[48] - 69[2300],12[60] - 0[0]
36,42[84] - 4[120],6[48] - 69[2300],12[60] - 0[0]
37,42[84] - 0[0],6[48] - 69[2300],12[60] - 0[0]
38,46[92] - 2[60],6[48] - 69[2300],12[60] - 0[0]
39,42[84] - 1[30],6[48] - 69[2300],12[60] - 0[0]
40,35[70] - 3[90],6[48] - 69[2300],12[60] - 0[0]
41,39[78] - 4[120],6[48] - 69[2300],12[60] - 0[0]
42,42[84] - 5[150],6[48] - 69[2300],12[60] - 0[0]
43,36[72] - 6[180],6[48] - 69[2300],12[60] - 0[0]
44,41[82] - 0[0],6[48] - 69[2300],12[60] - 0[0]
45,43[86] - 1[30],6[48] - 69[2300],12[60] - 0[0]
46,35[70] - 1[30],6[48] - 69[2300],12[60] - 0[0]
47,40[80] - 2[60],6[48] - 69[2300],12[60] - 0[0]
48,35[70] - 4[120],6[48] - 69[2300],12[60] - 0[0]
49,35[70] - 4[120],6[48] - 69[2300],12[60] - 0[0]
50,48[96] - 2[60],6[48] - 69[2300],12[60] - 0[0]
51,41[82] - 4[120],6[48] - 69[2300],12[60] - 0[0]
52,41[82] - 4[120],6[48] - 69[2300],12[60] - 0[0]
53,43[86] - 5[150],6[48] - 69[2300],12[60] - 0[0]
54,36[72] - 8[240],6[48] - 69[2300],12[60] - 0[0]
55,45[90] - 0[0],6[48] - 69[2300],12[60] - 0[0]
56,49[98] - 0[0],6[48] - 69[2300],12[60] - 0[0]
57,43[86] - 2[60],6[48] - 69[2300],12[60] - 0[0]
58,46[92] - 3[90],6[48] - 69[2300],12[60] - 0[0]
59,49[98] - 4[120],6[48] - 69[2300],12[60] - 0[0]
1,0[0] - 0[0],4[32] - 0[0],0[0] - 0[0]
1,11[22] - 0[0],4[32] - 0[0],0[0] - 0[0]
2,37[74] - 0[0],7[56] - 1[60],3[15] - 0[0]
3,41[82] - 0[0],11[88] - 1[60],3[15] - 0[0]
4,45[90] - 0[0],11[88] - 2[115],3[15] - 0[0]
5,35[70] - 1[30],12[96] - 4[160],3[15] - 0[0]
6,39[78] - 1[30],10[80] - 7[240],3[15] - 0[0]
7,45[90] - 2[60],9[72] - 9[300],3[15] - 0[0]
8,38[76] - 4[120],9[72] - 11[370],3[15] - 0[0]
9,40[80] - 5[150],11[88] - 13[435],3[15] - 0[0]
10,45[90] - 4[120],9[72] - 15[510],3[15] - 0[0]
11,73[146] - 5[150],11[88] - 17[570],3[15] - 0[0]
12,73[146] - 2[60],11[88] - 17[570],3[15] - 0[0]
13,73[146] - 3[90],11[88] - 17[570],3[15] - 0[0]
14,73[146] - 5[150],11[88] - 17[570],3[15] - 0[0]
15,73[146] - 2[60],11[88] - 17[570],3[15] - 0[0]
1,14[28] - 0[0],3[24] - 0[0],0[0] - 0[0]
2,47[94] - 0[0],11[88] - 0[0],0[0] - 0[0]
3,39[78] - 0[0],12[96] - 1[30],8[40] - 0[0]
4,45[90] - 0[0],5[40] - 3[150],8[40] - 0[0]
5,35[70] - 0[0],9[72] - 5[210],8[40] - 0[0]
1,16[32] - 0[0],2[16] - 0[0],0[0] - 0[0]
2,36[72] - 0[0],12[96] - 0[0],15[75] - 0[0]
3,39[78] - 0[0],9[72] - 2[85],18[90] - 0[0]
4,40[80] - 0[0],9[72] - 4[170],18[90] - 0[0]
5,47[94] - 0[0],12[96] - 5[205],18[90] - 0[0]
6,37[74] - 2[60],8[64] - 8[285],18[90] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,46[92] - 0[0],10[80] - 0[0],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,47[94] - 0[0],9[72] - 1[55],0[0] - 0[0]
1,36[72] - 0[0],10[80] - 0[0],0[0] - 0[0]
2,44[88] - 0[0],9[72] - 2[55],4[20] - 0[0]
3,45[90] - 0[0],8[64] - 3[115],4[20] - 0[0]
4,45[90] - 0[0],12[96] - 3[115],4[20] - 0[0]
5,38[76] - 3[90],9[72] - 7[235],4[20] - 0[0]
