游戏日,烹饪店,轻装店,重装店
1,7[14] - 0[0],3[24] - 0[0],0[0] - 0[0]
2,14[28] - 0[0],7[56] - 0[0],8[40] - 0[0]
3,22[44] - 0[0],12[96] - 0[0],10[50] - 0[0]
4,29[58] - 0[0],11[88] - 2[60],10[50] - 0[0]
5,37[74] - 0[0],11[88] - 2[60],10[50] - 0[0]
6,45[90] - 0[0],9[72] - 3[90],10[50] - 0[0]
7,37[74] - 0[0],12[96] - 3[90],10[50] - 0[0]
8,44[88] - 0[0],9[72] - 4[115],10[50] - 0[0]
9,35[70] - 0[0],11[88] - 5[150],10[50] - 0[0]
10,43[86] - 0[0],10[80] - 6[175],10[50] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],8[40] - 0[0]
2,0[0] - 0[0],0[0] - 0[0],19[95] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
1,9[18] - 0[0],4[32] - 0[0],0[0] - 0[0]
2,33[66] - 0[0],9[72] - 1[25],2[10] - 1[100]
3,39[78] - 0[0],12[96] - 2[55],13[65] - 1[100]
4,49[98] - 0[0],10[80] - 5[140],13[65] - 1[100]
5,39[78] - 2[60],11[88] - 7[200],13[65] - 1[100]
6,44[88] - 2[60],10[80] - 9[250],13[65] - 1[100]
1,10[20] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,24[48] - 0[0],12[96] - 0[0],0[0] - 0[0]
3,44[88] - 0[0],12[96] - 1[60],7[35] - 2[150]
4,48[96] - 0[0],10[80] - 3[115],7[35] - 2[150]
1,10[20] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,26[52] - 0[0],7[56] - 1[60],17[85] - 0[0]
3,37[74] - 0[0],10[80] - 2[90],16[80] - 1[50]
4,38[76] - 0[0],11[88] - 4[175],16[80] - 1[50]
5,42[84] - 0[0],9[72] - 6[235],16[80] - 1[50]
6,43[86] - 1[30],9[72] - 10[325],16[80] - 1[50]
7,46[92] - 1[30],10[80] - 13[410],16[80] - 1[50]
8,48[96] - 2[60],9[72] - 15[490],16[80] - 1[50]
9,41[82] - 4[120],10[80] - 17[575],16[80] - 1[50]
10,44[88] - 3[90],9[72] - 20[660],16[80] - 1[50]
1,17[34] - 0[0],9[72] - 0[0],0[0] - 0[0]
2,39[78] - 0[0],10[80] - 2[45],11[55] - 0[0]
3,42[84] - 0[0],12[96] - 4[90],11[55] - 0[0]
4,41[82] - 0[0],12[96] - 5[120],11[55] - 0[0]
5,44[88] - 1[30],9[72] - 8[220],11[55] - 0[0]
6,47[94] - 2[60],12[96] - 10[275],11[55] - 0[0]
7,38[76] - 0[0],10[80] - 12[320],11[55] - 0[0]
8,38[76] - 0[0],10[80] - 12[320],11[55] - 0[0]
9,38[76] - 0[0],10[80] - 12[320],11[55] - 0[0]
10,38[76] - 1[30],10[80] - 16[435],11[55] - 0[0]
11,41[82] - 2[60],9[72] - 19[550],11[55] - 0[0]
12,46[92] - 3[90],9[72] - 22[635],11[55] - 0[0]
13,35[70] - 2[60],11[88] - 24[695],11[55] - 0[0]
14,35[70] - 2[60],11[88] - 24[695],11[55] - 0[0]
15,35[70] - 2[60],11[88] - 24[695],11[55] - 0[0]
16,35[70] - 2[60],11[88] - 24[695],11[55] - 0[0]
17,35[70] - 2[60],11[88] - 24[695],11[55] - 0[0]
18,35[70] - 2[60],11[88] - 24[695],11[55] - 0[0]
19,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
20,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
21,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
22,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
23,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
24,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
25,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
26,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
27,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
28,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
29,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
30,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
31,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
32,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
33,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
34,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
35,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
36,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
37,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
38,39[78] - 0[0],11[88] - 24[695],11[55] - 0[0]
39,44[88] - 0[0],11[88] - 24[695],11[55] - 0[0]
40,35[70] - 0[0],11[88] - 24[695],11[55] - 0[0]
41,37[74] - 1[30],11[88] - 24[695],11[55] - 0[0]
42,37[74] - 1[30],11[88] - 24[695],11[55] - 0[0]
43,40[80] - 2[60],11[88] - 24[695],11[55] - 0[0]
44,45[90] - 4[120],11[88] - 24[695],11[55] - 0[0]
45,39[78] - 5[150],11[88] - 24[695],11[55] - 0[0]
46,65[130] - 2[60],11[88] - 24[695],11[55] - 0[0]
47,85[170] - 3[90],11[88] - 24[695],11[55] - 0[0]
48,102[204] - 3[90],11[88] - 24[695],11[55] - 0[0]
49,102[204] - 1[30],11[88] - 24[695],11[55] - 0[0]
50,102[204] - 1[30],11[88] - 24[695],11[55] - 0[0]
51,102[204] - 0[0],11[88] - 24[695],11[55] - 0[0]
52,102[204] - 0[0],11[88] - 24[695],11[55] - 0[0]
53,102[204] - 0[0],11[88] - 24[695],11[55] - 0[0]
54,102[204] - 1[30],11[88] - 24[695],11[55] - 0[0]
55,102[204] - 1[30],11[88] - 24[695],11[55] - 0[0]
56,102[204] - 1[30],11[88] - 24[695],11[55] - 0[0]
57,102[204] - 1[30],11[88] - 24[695],11[55] - 0[0]
58,102[204] - 0[0],11[88] - 24[695],11[55] - 0[0]
59,102[204] - 0[0],11[88] - 24[695],11[55] - 0[0]
1,9[18] - 0[0],5[40] - 0[0],0[0] - 0[0]
1,9[18] - 0[0],4[32] - 0[0],0[0] - 0[0]
2,25[50] - 0[0],7[56] - 1[55],5[25] - 1[75]
3,41[82] - 0[0],6[48] - 3[135],13[65] - 1[75]
4,45[90] - 0[0],10[80] - 3[135],13[65] - 1[75]
5,45[90] - 0[0],12[96] - 5[190],13[65] - 1[75]
6,37[74] - 1[30],9[72] - 8[270],13[65] - 1[75]
7,39[78] - 2[60],6[48] - 11[375],13[65] - 1[75]
8,45[90] - 3[90],12[96] - 12[435],13[65] - 1[75]
9,47[94] - 4[120],12[96] - 14[485],13[65] - 1[75]
10,40[80] - 5[150],12[96] - 16[565],13[65] - 1[75]
11,58[116] - 5[150],10[80] - 19[655],13[65] - 1[75]
12,58[116] - 5[150],10[80] - 19[655],13[65] - 1[75]
13,58[116] - 5[150],10[80] - 19[655],13[65] - 1[75]
14,58[116] - 5[150],10[80] - 19[655],13[65] - 1[75]
15,58[116] - 5[150],10[80] - 19[655],13[65] - 1[75]
1,20[40] - 0[0],4[32] - 0[0],0[0] - 0[0]
2,45[90] - 0[0],6[48] - 2[90],2[10] - 0[0]
3,35[70] - 0[0],10[80] - 3[115],7[35] - 2[180]
4,44[88] - 0[0],6[48] - 5[200],7[35] - 2[180]
5,38[76] - 0[0],12[96] - 6[260],7[35] - 2[180]
1,10[20] - 0[0],5[40] - 0[0],0[0] - 0[0]
2,47[94] - 0[0],12[96] - 0[0],9[45] - 0[0]
3,45[90] - 0[0],11[88] - 1[20],16[80] - 2[155]
4,37[74] - 0[0],12[96] - 2[75],16[80] - 2[155]
5,42[84] - 0[0],11[88] - 3[105],16[80] - 2[155]
6,38[76] - 2[60],11[88] - 6[180],16[80] - 2[155]
1,12[24] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,36[72] - 0[0],10[80] - 1[30],7[35] - 0[0]
1,13[26] - 0[0],0[0] - 0[0],0[0] - 0[0]
1,0[0] - 0[0],0[0] - 0[0],0[0] - 0[0]
2,36[72] - 0[0],11[88] - 0[0],15[75] - 0[0]
1,36[72] - 0[0],7[56] - 0[0],3[15] - 0[0]
2,44[88] - 0[0],9[72] - 1[35],3[15] - 0[0]
3,36[72] - 0[0],10[80] - 3[85],3[15] - 0[0]
4,42[84] - 0[0],12[96] - 4[115],3[15] - 0[0]
5,45[90] - 1[30],9[72] - 6[205],3[15] - 0[0]
