ConfigID,Name,Category,Gender,Level,Age,Hp,Mp,Lp,Atk,Def,Agi,Ine,Con,BTIntervalSec
2000016,蜥蜴,Animal,0,13,3.0,216/216,109/109,99/100,71,68,61,118,131,0.62
2000016,蜥蜴,Animal,0,15,3.0,235/235,128/128,99/100,77,74,67,118,131,0.60
2000016,蜥蜴,Animal,0,11,3.0,199/199,114/114,99/100,72,62,58,119,129,0.63
2000016,蜥蜴,Animal,0,19,3.0,281/281,140/140,99/100,88,81,74,116,135,0.57
2000016,蜥蜴,Animal,0,24,3.0,345/345,203/203,99/100,103,87,93,118,138,0.52
2000016,蜥蜴,Animal,0,22,3.0,315/315,179/179,99/100,97,93,83,118,135,0.54
2000016,蜥蜴,Animal,0,13,3.0,214/214,115/115,99/100,71,66,61,118,131,0.62
2000016,蜥蜴,Animal,0,18,3.0,261/261,159/159,99/100,85,72,73,119,133,0.58
2000016,蜥蜴,Animal,0,20,3.0,308/308,160/160,99/100,92,85,81,116,137,0.55
2000016,蜥蜴,Animal,0,22,3.0,320/320,184/184,99/100,97,82,80,118,137,0.55
2000016,蜥蜴,Animal,0,22,3.0,336/336,195/195,99/100,108,87,84,118,137,0.54
2000016,蜥蜴,Animal,0,21,3.0,328/328,186/186,99/100,95,84,84,118,138,0.54
2000016,蜥蜴,Animal,0,15,3.0,255/255,137/137,99/100,78,74,65,118,133,0.60
2000016,蜥蜴,Animal,0,19,3.0,290/290,162/162,99/100,89,82,79,118,135,0.56
2000016,蜥蜴,Animal,0,24,3.0,346/346,187/187,99/100,106,86,85,116,139,0.54
2000016,蜥蜴,Animal,0,11,3.0,205/205,122/122,99/100,70,60,61,119,130,0.62
2000016,蜥蜴,Animal,0,23,3.0,334/334,196/196,99/100,101,96,83,119,136,0.54
2000016,蜥蜴,Animal,0,13,3.0,214/214,125/125,99/100,74,67,64,119,130,0.61
2000016,蜥蜴,Animal,0,25,3.0,372/372,182/182,99/100,117,102,88,114,139,0.53
2000016,蜥蜴,Animal,0,20,3.0,292/292,173/173,99/100,91,81,76,119,135,0.57
2000016,蜥蜴,Animal,0,15,3.0,241/241,133/133,99/100,85,70,71,117,132,0.58
2000016,蜥蜴,Animal,0,16,3.0,244/244,141/141,99/100,82,74,67,119,131,0.60
2000016,蜥蜴,Animal,0,24,3.0,326/326,165/165,99/100,102,89,87,115,137,0.53
2000016,蜥蜴,Animal,0,15,3.0,249/249,132/132,99/100,85,67,69,117,133,0.59
2000016,蜥蜴,Animal,0,16,3.0,260/260,134/134,99/100,80,74,69,117,134,0.59
2000016,蜥蜴,Animal,0,20,3.0,303/303,146/146,99/100,91,77,80,115,137,0.55
